,Average,Date
0,69.27792592592593,2014-12-31
1,69.2144851851852,2015-01-02
2,67.16177407407407,2015-01-05
3,65.7423111111111,2015-01-06
4,65.45198333333333,2015-01-07
5,66.18944444444445,2015-01-08
6,66.47596296296297,2015-01-09
7,64.5111111111111,2015-01-12
8,64.17266296296296,2015-01-13
9,63.463933333333344,2015-01-14
10,64.58767592592594,2015-01-15
11,65.08230555555556,2015-01-16
12,65.21360925925926,2015-01-20
13,66.97385185185186,2015-01-21
14,67.30944074074074,2015-01-22
15,67.76329259259258,2015-01-23
16,67.7393148148148,2015-01-26
17,68.31966666666666,2015-01-27
18,66.81106481481481,2015-01-28
19,65.15655555555556,2015-01-29
20,66.1645537037037,2015-01-30
21,68.26644259259258,2015-02-02
22,70.6457074074074,2015-02-03
23,69.60107407407408,2015-02-04
24,70.44480370370371,2015-02-05
25,70.58657777777778,2015-02-06
26,70.71063888888888,2015-02-09
27,69.59235555555556,2015-02-10
28,69.12927592592592,2015-02-11
29,70.70898148148147,2015-02-12
30,71.83118518518519,2015-02-13
31,72.19846111111111,2015-02-17
32,72.06919444444445,2015-02-18
33,71.0592074074074,2015-02-19
34,71.61447592592593,2015-02-20
35,71.10982777777778,2015-02-23
36,71.30731481481482,2015-02-24
37,71.5271,2015-02-25
38,70.8749074074074,2015-02-26
39,70.1555074074074,2015-02-27
40,69.31521666666667,2015-03-02
41,70.14017777777777,2015-03-03
42,69.78564814814816,2015-03-04
43,69.86256851851851,2015-03-05
44,68.98046296296296,2015-03-06
45,68.45249814814815,2015-03-09
46,67.31796481481481,2015-03-10
47,66.95985185185185,2015-03-11
48,67.04150000000001,2015-03-12
49,65.96229074074074,2015-03-13
50,66.57442592592594,2015-03-16
51,66.94085185185185,2015-03-17
52,67.69981296296295,2015-03-18
53,67.75267962962964,2015-03-19
54,68.80637037037037,2015-03-20
55,68.97252407407407,2015-03-23
56,68.2810925925926,2015-03-24
57,69.04916666666666,2015-03-25
58,69.82829814814815,2015-03-26
59,68.95323333333333,2015-03-27
60,69.95944999999999,2015-03-30
61,69.97012037037038,2015-03-31
