,Average,Date
1,69.2145,1/1/2015
2,69.2145,1/1/2015
3,69.21448519,1/2/2015
4,69.21448519,1/3/2015
5,69.21448519,1/4/2015
6,67.16177407,1/5/2015
7,65.74231111,1/6/2015
8,65.45198333,1/7/2015
9,66.18944444,1/8/2015
10,66.47596296,1/9/2015
11,66.47596296,1/10/2015
12,66.47596296,1/11/2015
13,64.51111111,1/12/2015
14,64.17266296,1/13/2015
15,63.46393333,1/14/2015
16,64.58767593,1/15/2015
17,65.08230556,1/16/2015
18,65.08230556,1/17/2015
19,65.08230556,1/18/2015
20,65.08230556,1/19/2015
21,65.21360926,1/20/2015
22,66.97385185,1/21/2015
23,67.30944074,1/22/2015
24,67.76329259,1/23/2015
25,67.76329259,1/24/2015
26,67.76329259,1/25/2015
27,67.73931481,1/26/2015
28,68.31966667,1/27/2015
29,66.81106481,1/28/2015
30,65.15655556,1/29/2015
31,66.1645537,1/30/2015
32,66.1645537,1/31/2015
33,66.1645537,2/1/2015
34,68.26644259,2/2/2015
35,70.64570741,2/3/2015
36,69.60107407,2/4/2015
37,70.4448037,2/5/2015
38,70.58657778,2/6/2015
39,70.58657778,2/7/2015
40,70.58657778,2/8/2015
41,70.71063889,2/9/2015
42,69.59235556,2/10/2015
43,69.12927593,2/11/2015
44,70.70898148,2/12/2015
45,71.83118519,2/13/2015
46,71.83118519,2/14/2015
47,71.83118519,2/15/2015
48,71.83118519,2/16/2015
49,72.19846111,2/17/2015
50,72.06919444,2/18/2015
51,71.05920741,2/19/2015
52,71.61447593,2/20/2015
53,71.61447593,2/21/2015
54,71.61447593,2/22/2015
55,71.10982778,2/23/2015
56,71.30731481,2/24/2015
57,71.5271,2/25/2015
58,70.87490741,2/26/2015
59,70.15550741,2/27/2015
60,70.15550741,2/28/2015
,,
,,
,,
64,70.15550741,3/1/2015
65,69.31521667,3/2/2015
66,70.14017778,3/3/2015
67,69.78564815,3/4/2015
68,69.86256852,3/5/2015
69,68.98046296,3/6/2015
70,68.98046296,3/7/2015
71,68.98046296,3/8/2015
72,68.45249815,3/9/2015
73,67.31796481,3/10/2015
74,66.95985185,3/11/2015
75,67.0415,3/12/2015
76,65.96229074,3/13/2015
77,65.96229074,3/14/2015
78,65.96229074,3/15/2015
79,66.57442593,3/16/2015
80,66.94085185,3/17/2015
81,67.69981296,3/18/2015
82,67.75267963,3/19/2015
83,68.80637037,3/20/2015
84,68.80637037,3/21/2015
85,68.80637037,3/22/2015
86,68.97252407,3/23/2015
87,68.28109259,3/24/2015
88,69.04916667,3/25/2015
89,69.82829815,3/26/2015
90,68.95323333,3/27/2015
91,68.95323333,3/28/2015
92,68.95323333,3/29/2015
93,69.95945,3/30/2015
94,69.97012037,3/31/2015
95,70.65790926,4/1/2015
96,70.53076111,4/2/2015
97,70.53076111,4/3/2015
98,70.53076111,4/4/2015
99,70.53076111,4/5/2015
100,71.84096667,4/6/2015
101,72.42457407,4/7/2015
102,72.22761296,4/8/2015
103,72.56149444,4/9/2015
104,73.13838889,4/10/2015
105,73.13838889,4/11/2015
106,73.13838889,4/12/2015
107,72.96122222,4/13/2015
108,73.42592222,4/14/2015
109,74.97550926,4/15/2015
110,75.52923148,4/16/2015
111,74.77268704,4/17/2015
112,74.77268704,4/18/2015
113,74.77268704,4/19/2015
114,75.35120556,4/20/2015
115,74.45649444,4/21/2015
116,74.25201667,4/22/2015
117,75.16309444,4/23/2015
118,74.5667037,4/24/2015
119,74.5667037,4/25/2015
120,74.5667037,4/26/2015
121,74.68060185,4/27/2015
122,74.3968463,4/28/2015
123,75.06342778,4/29/2015
124,75.36460926,4/30/2015
,,
126,75.08192407,5/1/2015
127,75.08192407,5/2/2015
128,75.08192407,5/3/2015
129,74.98918889,5/4/2015
130,74.97174074,5/5/2015
131,73.79083889,5/6/2015
132,72.41194444,5/7/2015
133,72.66329074,5/8/2015
134,72.66329074,5/9/2015
135,72.66329074,5/10/2015
136,72.31595185,5/11/2015
137,71.81316852,5/12/2015
138,72.10594444,5/13/2015
139,71.73231296,5/14/2015
140,71.34889074,5/15/2015
141,71.34889074,5/16/2015
142,71.34889074,5/17/2015
143,71.68457037,5/18/2015
144,71.10558148,5/19/2015
145,70.88722222,5/20/2015
146,71.87904259,5/21/2015
147,71.80746481,5/22/2015
148,71.80746481,5/23/2015
149,71.80746481,5/24/2015
150,71.80746481,5/25/2015
151,70.92051111,5/26/2015
152,70.59424074,5/27/2015
153,69.96572778,5/28/2015
154,70.25777963,5/29/2015
155,70.25777963,5/30/2015
156,70.25777963,5/31/2015
157,70.05762963,6/1/2015
158,70.44177593,6/2/2015
159,70.42731296,6/3/2015
160,69.3671963,6/4/2015
161,69.62980556,6/5/2015
162,69.62980556,6/6/2015
163,69.62980556,6/7/2015
164,69.49929074,6/8/2015
165,69.98472407,6/9/2015
166,70.39120556,6/10/2015
167,70.5588537,6/11/2015
168,69.66622222,6/12/2015
169,69.66622222,6/13/2015
